#Frame        chi1:41      chi2:41
     895     -77.8673      92.2558
     896     -79.5845      88.6924
     897     -88.8862      92.7810
     898     -84.3679      99.5583
     899     -82.2040     106.6093
     900     -69.8497     124.6881
     901     -78.8910      86.6711
     902     -50.7227      96.1538
     903     -71.7738      91.0314
     904     -75.4878      89.6309
     905     -75.2770      82.8320
     906     -66.5322      97.0063
     907     -57.0517      91.7914
     908     -81.1231      87.0606
     909     -68.5458      76.8035
     910     -87.4316      96.4397
     911     -73.7837      96.0385
     912     -67.4623     101.4039
     913     -89.2850     108.1158
     914     -76.8350     108.8404
     915     -71.5248     103.8663
     916     -64.7034     127.5259
     917     -69.2516     116.1278
     918     -68.3595     114.3679
     919     -73.6807     102.4397
     920     -74.2013     119.5256
     921     -68.6021      97.5028
     922     -61.6983     105.2160
     923     -65.5523     107.6811
     924     -68.2429     109.2061
     925     -71.7616     116.1736
     926     -70.5857     107.3159
     927     -64.8620     104.5783
     928     -82.4434     114.0392
     929     -69.1664     110.6488
     930     -80.6318     107.6422
     931     -65.2248      99.0161
     932     -68.8627      97.4794
     933     -56.1417      93.1891
     934     -69.9409      99.2887
     935     -68.4883      82.7195
     936     -74.1478     103.9414
     937     -55.3596      95.8592
     938     -66.6616      92.1717
     939     -57.2938      94.9130
     940     -65.7967      91.8297
     941     -71.5151     105.7110
     942     -74.5045     107.9131
     943     -71.9519     109.2765
     944     -68.9653     113.9814
     945     -80.0411     109.3206
     946     -72.7235     108.5819
     947     -69.3786     103.6753
     948     -76.9657     113.6870
     949     -80.7705     124.7213
     950     -77.2591     107.1264
     951     -75.1787     109.4325
     952     -65.1892     116.3528
     953     -72.9598     104.9236
     954     -82.9067     125.1852
     955     -77.3887     101.1988
     956     -65.0843      85.2286
     957     -77.1935      97.8564
     958     -74.6560      91.5246
     959     -77.8054      94.7335
     960     -66.6005      80.9328
     961     -94.5507     109.9489
     962     -83.3194      98.3076
     963     -73.6580      97.7884
     964     -88.7356     105.3908
     965     -75.8172     110.5665
     966    -105.4745     105.6762
     967     -84.6724      94.5540
     968     -79.7547     111.7532
     969     -78.8923     110.9749
     970     -68.2435      96.5943
     971     -70.0887      98.2467
     972     -76.3594     104.5137
     973     -81.5089     110.1898
     974     -62.9996     105.0483
     975     -78.6887     106.3607
     976     -77.7991     105.0447
     977     -71.1067      95.3703
     978     -74.5850     109.2328
     979     -75.5136      87.5581
     980     -93.6979     118.6187
     981     -79.4826     124.6009
     982     -79.0492      79.9894
     983     -77.4904      87.6464
     984     -70.0456      95.0042
     985     -53.7471     102.8982
     986     -78.2602     101.1412
     987     -75.8649     106.0390
     988     -62.7075      93.1712
     989     -81.3002     102.3128
     990     -66.3203      84.6561
     991     -77.6691     107.6053
     992     -72.9989      91.4132
     993     -77.5027     102.2897
     994     -69.1440     117.2233
     995     -75.5736     106.9167
