#Frame        chi1:32      chi2:32      chi3:32
     628    -172.9282      51.8715     -95.9045
     629     173.4026      42.0870    -110.7893
     630     176.4251      58.3250    -109.5973
     631    -157.8035      40.3647     -88.2560
     632     179.9462      70.8147     -80.5650
     633    -167.0004      49.9922    -103.9170
     634    -170.8681      35.8620     -83.5363
     635    -163.6742      42.9701     -77.3604
     636    -161.0799      28.9647     -68.2313
     637    -171.1778      52.8003     -91.0307
     638     -93.8973     -64.2033      -6.0787
     639    -167.2921      47.5551     -78.6300
     640    -171.1578      59.7774     -83.8635
     641    -167.4365      40.7858     -91.9449
     642    -162.6269      47.9909     -96.5259
     643    -172.6220      62.0172    -123.9802
     644    -169.2857      58.2927     -72.5541
     645    -174.9402      52.5268    -114.4311
     646    -164.2955      55.1021     -98.7232
     647     177.1462      52.8783    -111.5160
     648    -175.2235      57.3663     -87.2697
     649    -169.0580      53.4035     -87.3859
     650    -163.1620      44.1040    -100.2858
     651    -173.6119      56.4281     -77.6127
     652    -168.7404      50.4251     -87.3926
     653    -172.2401      51.1429     -73.9540
     654    -167.7207      49.5392    -114.4926
     655    -173.6974      49.0807     -74.0192
     656    -173.0130      44.3364     -95.5633
     657    -162.8551      41.2902     -78.3829
     658     179.6076      47.1007     -93.6387
     659     169.2550      69.5640     -92.2884
     660    -165.8422      64.0138    -116.4534
     661     174.2460      61.7142     -88.0062
     662    -170.5530      62.1837    -111.3687
     663    -170.7320      53.6845    -118.6927
     664     -79.6827     -56.2204     -36.5269
     665    -162.8580      47.4615     -99.3502
     666    -175.5110      40.4238     -95.7644
     667    -178.6417      51.9291    -123.9362
     668    -178.6481      54.0013     -92.4416
     669    -168.5768      66.3893     -87.5373
     670    -162.4892      66.5629     -97.1222
     671    -174.0602      48.1500    -119.9578
     672    -176.3170      60.7157    -115.3269
     673    -165.3105      50.4578    -107.7227
     674    -169.1075      57.0144     -80.2699
     675     172.9756      56.9196     -96.8660
     676    -178.7140      52.8200     -96.3728
     677     177.0568      62.3033      64.5012
     678    -156.9291      45.9047      85.3120
     679     -73.2075     -78.1029     132.3064
     680     -94.5956     -66.4156     150.4546
     681    -169.3375      42.1877      79.6550
     682     -96.2183     -63.4291     172.6989
     683     -74.8570     -89.5833     173.2936
     684     -77.7623     -55.5508    -179.6714
     685    -157.9166      36.8732      80.2346
     686    -167.1536      41.2471      71.6804
     687    -174.4618      52.6010      98.3388
     688    -173.8446      48.1037     104.6131
     689    -175.4848      47.3913      96.3296
     690     163.8683      53.4292      43.4919
     691    -174.6219      60.6122     -90.3991
     692     178.0536      48.5589    -116.5655
     693     -78.7829     -59.2852     -35.0726
     694     -77.3275     -59.6065      -3.2653
     695     169.6500      63.4981     -81.4635
     696    -168.9688      54.7744     -98.7808
     697     169.0757      57.6971     -93.6016
     698    -168.1722      36.1315     -98.2606
     699    -173.2382      49.2419     -86.0192
     700    -163.2256      43.3044     -83.4999
     701    -178.1518      59.2365     -97.6070
     702    -154.3361      59.5642    -121.0298
     703    -169.1724      46.8342     -63.8185
     704    -175.6871      49.1304     -86.0807
     705    -178.3903      57.3819    -101.0447
     706    -168.7035      56.9849    -129.0308
     707    -169.8771      58.0749    -108.4909
     708     174.4943      69.1303    -104.0561
     709    -175.2761      49.6826     -93.0214
     710    -164.7040      63.3829    -109.8126
     711    -170.0569      35.2294    -117.1324
     712    -167.5636      43.5922     -98.1302
     713    -175.7850      61.3524    -111.5940
     714    -158.1154      46.4619     -95.7671
     715    -169.5473      51.1794    -100.1732
     716     177.7895      70.0761    -105.8339
