#Frame        chi1:41      chi2:41
     737     -67.9163     107.0401
     738     -66.4616      94.7703
     739     -85.1363     122.0440
     740     -73.0800     119.6631
     741     -72.2083     107.6936
     742     -75.5460     106.4594
     743     -65.0474     117.2928
     744     -65.2055      97.4021
     745     -80.9835     115.3184
     746     -70.0784     103.7025
     747     -67.1862     111.8106
     748     -73.2777     119.2906
     749     -75.3036     114.7024
     750     -75.4023     112.3455
     751     -72.7074      96.5356
     752     -81.0381     118.0314
     753     -84.2539     111.7856
     754     -76.8198     115.9245
     755     -77.7482     108.9755
     756     -62.0687     111.2625
     757     -67.4626     111.5934
     758     -56.5196      96.2452
     759     -70.5438      94.0349
     760     -61.6619      94.9822
     761     -74.5648     105.7273
     762     -69.4759     105.3375
     763     -75.9883     112.6840
     764     -74.8702     109.8424
     765     -88.6249     111.0096
     766     -73.4176     109.4684
     767     -70.7729     108.8345
     768     -64.6022     102.7980
     769     -81.3156     113.1206
     770     -69.1026      94.4501
     771     -76.5340      96.1739
     772     -89.3044     102.5327
     773     -74.5166     106.7848
     774     -72.3745     100.7317
     775     -83.7693     112.1167
     776     -70.3420      90.0068
     777     -75.0321     120.3315
     778     -69.0030     123.1637
     779     -72.7004     103.8906
     780     -86.5832     124.8388
     781     -74.1871     102.3308
     782     -80.6020     121.1966
     783     -72.0527     106.7854
     784     -62.9762     105.0348
     785     -78.3909     116.3273
     786     -80.0795     116.4573
     787     -75.8576     105.1733
     788     -77.8409     115.7299
     789     -80.6006      99.0816
     790     -76.6415     113.5860
     791     -75.5742     119.0077
     792     -68.6609     100.0035
     793     -74.7072     118.5565
     794     -84.6235     108.7855
     795     -76.8449     111.3121
     796     -72.1703     113.3965
     797     -80.1954     112.1978
     798     -75.3417     110.4775
     799     -70.8999     126.7338
     800     -71.8073     102.8926
     801     -79.7887     108.2214
     802     -80.1662     109.1698
     803     -77.2207     110.3915
     804     -80.8349     116.1663
     805     -69.6807     100.8032
     806     -81.2014     118.9602
     807     -75.5719     102.0874
     808     -67.9354     100.8294
     809     -72.5216     104.0396
     810     -74.9545     102.3329
     811     -58.4696     106.5332
     812     -75.8385      92.8677
     813     -53.7692      95.0529
     814     -77.4240     113.9553
     815     -63.7761      99.2001
     816     -56.5600      97.4468
     817     -76.6537     108.9711
     818     -64.9089     103.5455
     819     -78.5720     110.3184
