#Frame       chi1:129     chi2:129
     441     -60.9097     104.9468
     442     -71.6944      96.6196
     443     -84.8441      95.9504
     444     165.9445      89.2249
     445    -163.8414      85.7625
     446     174.6949      77.4388
     447     171.4302      87.3112
     448     168.4739      92.8629
     449     -79.9494      95.8135
     450     156.2272      87.6391
     451     -67.6257      77.5553
     452     -70.8116      94.3039
     453     158.4256      72.6677
     454     -62.2254      93.7299
     455     169.8234      79.4482
     456     -87.5421     113.5262
     457     165.1264      80.8130
     458    -178.3607      67.1700
     459     161.5002      91.0740
     460     173.5984      95.0893
     461     171.1648      89.8994
     462     -77.2624      99.8694
     463     168.3947      86.8202
     464     158.3870      95.6703
     465     -91.4603     112.1814
     466     -86.7766      87.5024
     467     -85.6116      82.8390
     468     173.2737      74.1245
     469     163.2515      84.9989
     470     172.1349      95.0595
     471     164.0259      65.5840
     472     -93.1517     109.5460
     473     171.9464      84.7486
     474     -86.2642     111.1118
     475     -89.7859     127.2491
     476     -76.8174     102.9249
     477    -170.2962      76.5392
     478     162.6634      81.1683
     479    -104.6767     101.3693
     480    -100.2905     105.9261
     481    -164.3571      80.2775
     482     -61.2792      89.4703
     483     163.1435      86.9738
     484     -82.5962      93.3920
     485     -77.5153      70.9884
     486     162.1381      93.6011
     487     166.1140      80.2820
     488     162.1540      85.1907
     489     -93.2105     126.2376
     490     164.3009      82.8068
     491     162.4471      99.4305
     492     -69.2078      95.1817
     493     -76.0022     109.2739
     494     161.7500      93.1368
     495     160.8335      83.7641
     496     -63.9507     102.2745
     497     168.4463      71.6511
     498     177.6568      69.4611
     499     -72.8415      95.1792
     500     165.4254      78.1555
     501     161.9322      83.5623
     502     -81.5854      93.5095
     503     175.9243      78.8180
     504     178.2088      81.5097
     505     -78.9638      93.7562
     506    -172.3909      85.7477
     507     156.4867      90.7615
     508     168.0589      58.3174
     509     177.4364      81.4164
     510     -79.2563     103.3608
     511     -80.6973     120.2725
     512     -64.2196      84.0839
     513     159.2914      83.7828
     514     -71.4305      76.9815
     515     168.9715      78.6537
     516     175.2810      82.1857
     517     153.5780      85.6396
     518     -99.1488     113.3544
     519     165.9248      61.0616
     520     -75.6029     125.1130
     521     162.5010      72.0337
     522     -77.1015     116.3423
     523     -77.5266     104.4221
     524     149.9064      85.2818
     525     -82.2983      98.9211
     526     160.9373     103.0756
     527     171.4837      98.7468
     528     148.8035      86.1543
     529     -64.4866     115.3629
     530     159.5840      97.9164
     531     -64.6812     104.3006
     532     -70.9868      91.9800
     533     165.4210      86.2760
     534     -68.5381     102.9772
     535     -82.7602     104.3881
     536     -69.0183      84.4224
     537     -90.8459     120.7262
     538    -173.8740      80.3230
     539     154.0792      67.9770
     540     -68.5842      89.7110
     541     -76.1812     103.1738
     542     -84.4797      93.7887
     543     -80.2342     105.3426
     544     158.8085      91.6733
     545     174.8740      80.7443
     546     173.3339      70.7021
     547     168.5721      78.9094
     548     -75.9871     102.0845
     549     172.4002     106.1824
     550     164.0470      85.6661
     551     -76.4406      94.1438
     552     157.0189      92.1789
     553     -91.3949      93.5345
     554     -88.4100      99.8621
     555     152.8646      97.4879
     556     -59.9899     100.1947
     557     162.8396      95.5559
     558     168.4107      72.3436
     559     172.1719      92.0514
     560     167.8528      70.5555
     561     168.8815     109.1791
     562     155.0003      83.2473
     563     175.7306     104.9592
     564     -83.1874     122.8863
     565     -85.6503     115.0935
     566     173.1748      83.1626
     567     163.7257      85.4516
     568     169.7379      76.3976
     569     -66.1482      89.7347
     570     157.5895      90.4265
     571     -76.4235     113.4374
     572     154.4551      88.3234
     573     -69.9603      99.4812
     574     169.8402      84.2615
     575     -78.2567     108.8081
     576     -80.8536      85.9180
     577    -100.7940      88.6206
     578     -86.7094     127.6519
     579     -73.5409      71.5677
     580     -90.8988      93.9067
     581     -84.1300      89.9224
     582     173.7412      93.5443
     583    -100.6499      95.0409
     584     -94.6463     117.3077
     585     -74.6640     123.2723
     586     151.9082      85.4245
     587     -88.3361      74.9080
     588     166.8370      86.3535
     589     157.5205      81.4120
     590    -176.7783      80.5470
     591     163.5045      76.8582
     592     -75.6266     107.9743
     593     153.4305      91.4205
     594    -106.2695     103.4506
     595     -61.0079     116.6099
     596     162.6518      90.0346
     597     176.7697      78.4849
     598     162.6752      84.4307
     599     -65.2101     114.9544
     600    -168.3806      68.3708
     601     -78.8278      93.9899
     602    -157.2628      83.7917
     603     167.1045      96.3526
